prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010				38			
2010				38			
2010				38			
2010				38			
2010	DNA	2028	51				
2010				51	Unrated	Consensus	Species Tree
2010	Protein	7822	20				
2010	DNA	1834	20				
2010				20	Preferred Tree	Consensus	Species Tree
2003	DNA	1043	36				
2003				36	Unrated	Single	Species Tree
2010	DNA	1087	33				
2010	Standard	5	51				
2010	Standard	10	33				
2010	DNA	1263	51				
2010				33	Unrated	Consensus	Species Tree
2010				51	Unrated	Consensus	Species Tree
2010	DNA	676	40				
2010				40	Preferred Tree	Single	Species Tree
2003	DNA	2243	24				
2003	DNA	712	9				
2003				9	Unrated	Consensus	Species Tree
2003				25	Unrated	Consensus	Species Tree
2010	DNA	5984	95				
2010				95	Unrated	Single	Species Tree
2005	DNA	564	39				
2005				39	Alternative Tree	Single	Species Tree
2005				30	Preferred Tree	Single	Species Tree
2008	DNA	11810	298				
2008				215	Preferred Tree	Consensus	Gene Tree
2008				259	Preferred Tree	Consensus	Gene Tree
2008				290	Preferred Tree	Consensus	Species Tree
2011	DNA	1205	86				
2011				86	Preferred Tree	Single	Gene Tree
2003	Standard	23	18				
2003	DNA	822	20				
2003				20	Unrated	Single	Species Tree
2003				18	Unrated	Single	Species Tree
2008	DNA	2738	171				
2008				171	Preferred Tree	Single	Species Tree
2010	DNA	383	78				
2010	DNA	615	82				
2010	DNA	998	71				
2010				71	Preferred Tree	Single	Species Tree
2010				71	Preferred Tree	Single	Species Tree
2010				78	Unrated	Single	Species Tree
2010				82	Unrated	Single	Species Tree
2011	DNA	673	52				
2011	Standard	24	52				
2011	DNA	1662	45				
2011	Standard	21	45				
2011				45	Unrated	Single	Species Tree
2011				52	Unrated	Single	Species Tree
2010	Protein	6482	48				
2010	Protein	8851	48				
2010	Protein	11544	30				
2010	Protein	7671	48				
2010	Protein	11544	42				
2010	Protein	10469	32				
2010	Protein	5710	48				
2010	Protein	11544	36				
2010	Protein	6482	37				
2010	Protein	10469	48				
2010	Protein	6482	48				
2010	Protein	11544	48				
2010	Protein	8685	48				
2010				48	Unrated	Single	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				30	Unrated	Single	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				37	Unrated	Single	Gene Tree
2010				42	Unrated	Single	Gene Tree
2010				1	Unrated	Single	Gene Tree
2010				32	Unrated	Single	Gene Tree
2010				48	Unrated	Consensus	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				48	Unrated	Consensus	Gene Tree
2010				36	Unrated	Single	Gene Tree
2010				48	Unrated	Single	Gene Tree
2010				1	Unrated	Single	Gene Tree
2011	DNA	743	90				
2011	DNA	1662	25				
2011				90	Unrated	Single	Species Tree
2011				25	Unrated	Single	Species Tree
2003	DNA	1320	32				
2003				32	Unrated	Single	Species Tree
2010	DNA	525	36				
2010	DNA	777	38				
2010				36	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				36	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				36	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				36	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2003	DNA	684	63				
2003	DNA	642	39				
2003				63	Unrated	Consensus	Species Tree
2003				39	Unrated	Single	Species Tree
2010	DNA	1237	26				
2010				26	Unrated	Consensus	Species Tree
2010	Protein	7776	60				
2010	DNA	3632	413				
2010	DNA	3045	60				
2010				60	Unrated	Consensus	Species Tree
2010				413	Unrated	Consensus	Species Tree
2010				60	Unrated	Consensus	Species Tree
2011	DNA	2328	66				
2011				66	Unrated	Consensus	Species Tree
2010	DNA	484	14				
2010				14	Unrated	Single	Gene Tree
2010				14	Preferred Tree	Consensus	Gene Tree
2003	DNA	7668	34				
2003				34	Unrated	Single	Species Tree
2010	DNA	1529	73				
2010				73	Unrated	Single	Species Tree
2010	DNA	715	71				
2010				71	Unrated	Single	Species Tree
2011	DNA	157	81				
2011	DNA	613	81				
2011	DNA	986	81				
2011				81	Unrated	Single	Species Tree
2011				81	Unrated	Single	Species Tree
2011				81	Unrated	Single	Species Tree
2011				81	Unrated	Single	Species Tree
2011				81	Unrated	Single	Species Tree
2011				81	Unrated	Single	Species Tree
2011	DNA	521	27				
2011				27	Unrated	Single	Species Tree
2010	Standard	100	23				
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010	DNA	763	42				
2010				42	Unrated	Single	Species Tree
2003	Standard	2870	75				
2003	DNA	1884	93				
2003				75	Unrated	Single	Species Tree
2003				75	Unrated	Single	Species Tree
2003				93	Unrated	Single	Species Tree
2003				93	Unrated	Single	Species Tree
2010	DNA	644	36				
2010				36	Unrated	Single	Species Tree
2010	DNA	3517	50				
2010				50	Unrated	Single	Species Tree
2003	DNA	1341	25				
2003	DNA	752	32				
2003				9	Unrated	Single	Species Tree
2003				11	Unrated	Single	Species Tree
2010	DNA	712	43				
2010				43	Unrated	Single	Species Tree
2010	DNA	1050	20				
2010	DNA	2108	14				
2010				20			
2010				20			
2010				14			
2010				20			
2010				20			
2010				14			
2010				20			
2010				14			
2010				20			
2010				14			
2010				14			
2010	DNA	987	19				
2010	DNA	3681	10				
2010	DNA	2471	22				
2010	DNA	838	66				
2010				22	Unrated	Single	Species Tree
2010				10	Unrated	Single	Species Tree
2010				19	Unrated	Single	Species Tree
2010				19	Unrated	Single	Species Tree
2010				66	Unrated	Consensus	Species Tree
2010				19	Unrated	Single	Species Tree
2010				19	Unrated	Single	Species Tree
2004	DNA	673	100				
2004	DNA	1115	32				
2004	DNA	1788	32				
2004				98	Unrated	Single	Species Tree
2004				32	Unrated	Single	Species Tree
2004				32	Unrated	Single	Species Tree
2004				93	Unrated	Single	Species Tree
2010	DNA	3711	81				
2010	DNA	2891	37				
2010				81	Unrated	Consensus	Species Tree
2010				37	Unrated	Consensus	Species Tree
2010				37	Unrated	Consensus	Species Tree
2010				81	Unrated	Consensus	Species Tree
2010	DNA	3323	71				
2010	DNA	11296	93				
2010	DNA	7971	71				
2010				71	Unrated	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010				71	Unrated	Single	Species Tree
2010				93	Alternative Tree	Single	Species Tree
2010	DNA	1965	24				
2010				24	Unrated	Consensus	Species Tree
2010				24	Unrated	Consensus	Species Tree
2010	DNA	752	74				
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2010				74	Unrated	Single	Species Tree
2003	DNA	561	37				
2003				37	Unrated	Single	Species Tree
2003				37	Unrated	Consensus	Species Tree
1989	Standard	40	35				
1989				8	Unrated	Single	Species Tree
1989				7	Unrated	Single	Species Tree
1989				17	Unrated	Single	Species Tree
2010	DNA	9000	28				
2010				28	Unrated	Consensus	Species Tree
2010	DNA	967	30				
2010				30	Unrated	Single	Species Tree
2010				30	Unrated	Single	Species Tree
2010	DNA	1118	14				
2010	DNA	1653	44				
2010	DNA	765	48				
2010				14			
2010				48			
2010				44			
2010	Protein	33840	233				
2010	Protein	36929	233				
2010	Protein	35246	233				
2010	Protein	30623	233				
2010	Protein	33849	233				
2010	Protein	40861	233				
2010	Protein	31840	233				
2010	Protein	37476	117				
2010	Protein	33618	233				
2010	Protein	31321	233				
2010	Protein	42229	233				
2010				117	Unrated	Consensus	Species Tree
2010				117	Unrated	Single	Species Tree
2010				233	Unrated	Single	Species Tree
2004	Standard	55	95				
2004	DNA	2967	95				
2004				95	Unrated	Consensus	Species Tree
2010	DNA	995	64				
2010	DNA	465	61				
2010				64	Unrated	Single	Species Tree
2010				61	Unrated	Single	Species Tree
2011	DNA	405	25				
2011	DNA	658	25				
2011	DNA	1252	21				
2011	DNA	331	26				
2011	DNA	1765	26				
2011	DNA	501	26				
2011	Standard	54	80				
2011				26	Unrated	Consensus	Species Tree
2011				80	Unrated	Single	Species Tree
2011				80	Unrated	Consensus	Species Tree
2011				26	Unrated	Single	Species Tree
2010	DNA	2129	161				
2010				161	Unrated	Consensus	Gene Tree
2003	Standard	1342	85				
2003				85	Unrated	Single	Species Tree
2010	Standard	6	818				
2010	Standard	2	818				
2010	DNA	5074	298				
2010	Standard	4	818				
2010	Standard	1	818				
2010	Standard	417	818				
2010				802	Unrated	Consensus	Species Tree
2010				298			
2010	Protein	179	38				
2010				38	Unrated	Single	Gene Tree
2010	DNA	1642	23				
2010	DNA	600	22				
2010				23			
2010				22			
2010	DNA	2536	62				
2010				62	Unrated	Consensus	Species Tree
2010				62	Unrated	Consensus	Species Tree
2003	DNA	1694	101				
2003	DNA	783	29				
2003				101	Unrated	Consensus	Species Tree
2003				29	Unrated	Consensus	Species Tree
2003				101	Unrated	Consensus	Species Tree
2003				101	Unrated	Consensus	Species Tree
2009	Standard	344	73				
2009	DNA	1997	73				
2009				73	Preferred Tree	Consensus	Species Tree
2010	DNA	794	30				
2010	DNA	651	48				
2010				48			
2010				30			
2010	DNA	381	108				
2010	DNA	765	108				
2010	DNA	240	108				
2010				108	Unrated	Single	Barcode Tree
2010				108	Unrated	Single	Barcode Tree
2010				108	Unrated	Single	Barcode Tree
2004	DNA	549	39				
2004				39	Unrated	Single	Species Tree
2011	DNA	899	28				
2011	DNA	1651	19				
2011	DNA	770	28				
2011				28	Unrated	Consensus	Gene Tree
2011				28	Unrated	Consensus	Gene Tree
2011				19	Unrated	Single	Species Tree
2011	DNA	798	246				
2011	Protein	266	246				
2011				246	Unrated	Single	Species Tree
2011				246			
2010	DNA	1386	76				
2010	DNA	679	64				
2010				75			
2010				64			
2010	DNA	871	86				
2010	DNA	668	37				
2010				86	Unrated	Single	Species Tree
2010				37	Unrated	Single	Gene Tree
2010	Standard	93	39				
2010	DNA	4546	39				
2010				39	Unrated	Consensus	Species Tree
2003	DNA	2141	147				
2003				147	Unrated	Single	Species Tree
2010	DNA	983	91				
2010	DNA	912	16				
2010				91	Unrated	Consensus	Species Tree
2010				16	Unrated	Single	Species Tree
2010	DNA	1854	38				
2010				38	Unrated	Consensus	Species Tree
2010	Standard	54	50				
2010				50	Preferred Tree	Consensus	Species Tree
2011	Standard	32	42				
2011	Standard	30	27				
2011	DNA	650	27				
2011	DNA	398	42				
2011				27	Unrated	Single	Species Tree
2011				42	Unrated	Single	Species Tree
2003	DNA	277	8				
2003				8	Unrated	Single	Species Tree
2010	Protein	6578	451				
2010				451			
2010				160			
2010				160			
2010				111			
2010				240			
2010				89			
2010				111			
2010				88			
2010	DNA	2857					
2010	DNA	653	77				
2010				77	Unrated	Single	Species Tree
2010				88	Preferred Tree	Single	Species Tree
2003	DNA	4166	56				
2003	DNA	1601	39				
2003	Standard	20	19				
2003	Standard	3	56				
2003				56	Unrated	Consensus	Species Tree
2003				19	Unrated	Consensus	Species Tree
2003				38	Unrated	Single	Species Tree
2011	Standard	555	159				
2011				159	Unrated	Consensus	Species Tree
2011				159	Unrated	Consensus	Species Tree
2011	DNA	658	84				
2011	DNA	1343	84				
2011	DNA	1200	69				
2011	DNA	658	69				
2011				69	Unrated	Consensus	Species Tree
2011				84	Unrated	Consensus	Species Tree
2011				69	Unrated	Consensus	Species Tree
2011				84	Unrated	Consensus	Species Tree
2011				69	Unrated	Consensus	Species Tree
2011				69	Unrated	Consensus	Species Tree
2011				84	Unrated	Consensus	Species Tree
2011				84	Unrated	Consensus	Species Tree
2003	DNA	613	40				
2003	DNA	769	40				
2003	DNA	632	40				
2003				40	Unrated	Single	Species Tree
2003				40	Unrated	Single	Species Tree
2003				40	Unrated	Single	Species Tree
2010	DNA	9657	243				
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010				243	Unrated	Single	Species Tree
2010	DNA	666	114				
2010	DNA	638	42				
2010	DNA	2190	39				
2010				42	Unrated	Consensus	Species Tree
2010				39	Unrated	Single	Species Tree
2010				114	Unrated	Consensus	Species Tree
2010	DNA	2724	44				
2010				44	Preferred Tree	Single	Species Tree
2011	DNA	4115	132				
2011				132	Preferred Tree	Single	Species Tree
2011				132	Preferred Tree	Single	Species Tree
2003	DNA	550	40				
2003				40	Unrated	Single	Species Tree
2011	DNA	3769	23				
2011				23	Unrated	Single	Species Tree
2010	DNA	2224	62				
2010				62	Unrated	Single	Species Tree
2003	DNA	2510	18				
2003				18	Unrated	Consensus	Species Tree
2003				18	Unrated	Single	Species Tree
2003				18	Unrated	Consensus	Species Tree
1989	Standard	70	14				
1989				14	Unrated	Single	Species Tree
2010	DNA	717	101				
2010	DNA	428	28				
2010				28	Unrated	Consensus	Species Tree
2010				101	Unrated	Consensus	Species Tree
2010	Standard	1627	58				
2010				58	Unrated	Consensus	Species Tree
2010	DNA	3598	31				
2010				31	Unrated	Single	Species Tree
2010	DNA	1234	171				
2010	DNA	2104	171				
2010	DNA	3060	171				
2010				171	Unrated	Single	Species Tree
2010				171	Unrated	Single	Species Tree
2010	DNA	4581	50				
2010				50	Unrated	Single	Species Tree
2010	DNA	1101	28				
2010				28	Unrated	Consensus	Species Tree
2003	DNA	1185	40				
2003				40	Unrated	Single	Species Tree
2010	DNA	1157	43				
2010	Standard	17	31				
2010	DNA	1727	52				
2010	Standard	17	41				
2010	DNA	3778	31				
2010	Standard	12	43				
2010	DNA	2092	41				
2010				52	Unrated	Single	Species Tree
2010				43	Unrated	Single	Species Tree
2010				41	Unrated	Single	Species Tree
2010				31	Unrated	Single	Species Tree
2010	Standard	4	50				
2010	DNA	1517	50				
2010	DNA	1522	50				
2010				50	Preferred Tree	Single	Species Tree
2010	DNA	3074	125				
2010	Standard	566	125				
2010	DNA	1520	41				
2010				41	Unrated	Consensus	Species Tree
2010				125	Unrated	Consensus	Species Tree
2010	DNA	4254	73				
2010				73	Unrated	Single	Species Tree
2010	DNA	2198	42				
2010				42	Unrated	Consensus	Species Tree
2003	DNA	1893	51				
2003				51	Unrated	Single	Species Tree
2003				51	Unrated	Single	Species Tree
2010	DNA	2892	83				
2010				83	Unrated	Single	Species Tree
2010	DNA	940	38				
2010				38	Unrated	Single	Species Tree
2010	DNA	6775	95				
2010				95	Unrated	Consensus	Species Tree
2003	DNA	1161	18				
2003				18	Unrated	Consensus	Species Tree
2011	DNA	1001	72				
2011	DNA	669	107				
2011	DNA	701	94				
2011	DNA	857	46				
2011				94	Unrated	Single	Species Tree
2011				72	Unrated	Single	Species Tree
2011				107	Unrated	Single	Species Tree
2011				46	Unrated	Single	Species Tree
2010	DNA	1956	9				
2010	DNA	3114	8				
2010	DNA	1110	7				
2010	DNA	1358	7				
2010	DNA	1767	12				
2010	DNA	528	6				
2010	DNA	1749	8				
2010	DNA	1428	11				
2010	DNA	1128	10				
2010	DNA	1608	8				
2010	DNA	11118	7				
2010	DNA	1242	11				
2010	DNA	1881	10				
2010				6			
2010				9			
2010				9			
2010				5			
2010				8			
2010				7			
2010				10			
2010				6			
2010				7			
2010				7			
2010				6			
2010				9			
2010				10			
2010	DNA	1147	66				
2010				66			
2010	DNA	1364	96				
2010	DNA	3117					
2010	DNA	693	211				
2010				96	Unrated	Consensus	Species Tree
2010				117	Unrated	Consensus	Species Tree
2010				211	Unrated	Consensus	Species Tree
2010	Standard	83	110				
2010	DNA	994	110				
2010				110	Unrated	Single	Species Tree
2003	DNA	1585	80				
2003				80	Unrated	Single	Species Tree
2003				80	Unrated	Consensus	Species Tree
2010	DNA	577	42				
2010	DNA	265	42				
2010	DNA	1813	42				
2010	DNA	423	42				
2010	DNA	520	42				
2010				42	Alternative Tree	Consensus	Gene Tree
2010				42	Alternative Tree	Consensus	Gene Tree
2010				1	Alternative Tree	Consensus	Gene Tree
2010				42	Preferred Tree	Consensus	Species Tree
2010				42	Alternative Tree	Single	Gene Tree
2010				42	Preferred Tree	Consensus	Gene Tree
2010				42	Alternative Tree	Single	Species Tree
2010				42	Preferred Tree	Consensus	Gene Tree
2010				42	Alternative Tree	Consensus	Gene Tree
2010				42	Preferred Tree	Consensus	Gene Tree
2010				42	Alternative Tree	Single	Gene Tree
2010				42	Alternative Tree	Single	Gene Tree
2010				42	Alternative Tree	Single	Gene Tree
2010				41	Alternative Tree	Consensus	Species Tree
2010				42	Preferred Tree	Consensus	Gene Tree
2010				43	Unrated	Single	Species Tree
2010				64	Unrated	Single	Species Tree
2011	DNA	1734	42				
2011				42	Unrated	Single	Species Tree
2011				42	Unrated	Consensus	Species Tree
2011				42	Unrated	Consensus	Species Tree
2011				42	Unrated	Single	Species Tree
2003	DNA	571	21				
2003				21	Unrated	Single	Species Tree
2010	DNA	1909	23				
2010				23	Unrated	Single	Species Tree
2011	DNA	2717	32				
2011				32	Unrated	Single	Species Tree
2010	DNA	675	81				
2010	DNA	682	31				
2010	DNA	689	17				
2010	DNA	649	100				
2010				100	Unrated	Consensus	Species Tree
2010				31	Unrated	Consensus	Species Tree
2010				81	Unrated	Consensus	Species Tree
2010				17	Unrated	Consensus	Species Tree
2010	DNA	751	20				
2010				20	Unrated	Single	Species Tree
2010				20	Unrated	Single	Species Tree
2009	DNA	3830	190				
2009	DNA	6113	190				
2009	DNA	9973	190				
2009				190	Preferred Tree	Consensus	Species Tree
2004	DNA	1603	28				
2004				28	Unrated	Single	Species Tree
2010	DNA	1383	44				
2010				44	Unrated	Single	Species Tree
2010	Standard	109	129				
2010				129	Unrated	Single	Species Tree
2008	DNA	3306	139				
2008	DNA	3306	189				
2008				189	Unrated	Single	Species Tree
2008				139	Unrated	Single	Species Tree
2003	Protein	340	36				
2003	DNA	946	28				
2003	DNA	1200	28				
2003	DNA	1037	28				
2003	DNA	1020	36				
2003				28	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2003				36	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2003				36	Unrated	Single	Species Tree
2003				36	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2003				28	Unrated	Single	Species Tree
2010	Standard	237	177				
2010	DNA	3055	177				
2010				177	Unrated	Consensus	Species Tree
2011	DNA	711	107				
2011	DNA	663	77				
2011	DNA	2790	20				
2011	DNA	994	21				
2011	DNA	679	43				
2011	DNA	555	15				
2011	DNA	933	69				
2011	DNA	658	27				
2011	DNA	308	95				
2011				21	Unrated	Single	Species Tree
2011				27	Unrated	Single	Species Tree
2011				107	Unrated	Single	Species Tree
2011				43	Unrated	Single	Species Tree
2011				20	Unrated	Consensus	Species Tree
2011				107	Unrated	Single	Species Tree
2011				15	Unrated	Single	Species Tree
2011				20	Unrated	Consensus	Species Tree
2011				27	Unrated	Single	Species Tree
2011				95	Unrated	Single	Species Tree
2011				69	Unrated	Single	Species Tree
2011				20	Unrated	Single	Species Tree
2011				43	Unrated	Single	Species Tree
2011				77	Unrated	Single	Species Tree
2010	Standard	45	38				
2010	DNA	3098	71				
2010				71	Unrated	Single	Species Tree
2010				38	Unrated	Single	Species Tree
2010	DNA	1527	62				
2010				62	Unrated	Consensus	Species Tree
2010	DNA	1186	72				
2010	DNA	1234	72				
2010				72	Unrated	Consensus	Species Tree
2010				1	Unrated	Consensus	Species Tree
2004	Standard	49	87				
2004				87	Unrated	Single	Species Tree
2010	DNA	682	19				
2010				19	Unrated	Consensus	Species Tree
2011	DNA	1220	73				
2011	DNA	1014	37				
2011	DNA	1086	39				
2011	DNA	948	58				
2011				37	Unrated	Single	Species Tree
2011				73	Unrated	Single	Species Tree
2011				39	Unrated	Single	Species Tree
2011				58	Unrated	Single	Species Tree
2012	DNA	1179	9				
2012	DNA	1050	5				
2012				5	Unrated	Single	Species Tree
2012				9	Unrated	Single	Species Tree
2012				9	Unrated	Consensus	Species Tree
2012				5	Unrated	Consensus	Species Tree
2012				9	Unrated	Single	Species Tree
2003	DNA	1087	16				
2003	DNA	1466	21				
2003				16	Unrated	Single	Species Tree
2003				16	Unrated	Single	Species Tree
2003				21	Unrated	Single	Species Tree
2003				21	Unrated	Consensus	Species Tree
2003				16	Unrated	Single	Species Tree
2010	DNA	14912	180				
2010				176	Unrated	Consensus	Species Tree
2010				180	Unrated	Consensus	Species Tree
2010				180	Unrated	Consensus	Species Tree
2010	DNA	305	15				
2010	DNA	508	25				
2010				25	Unrated	Consensus	Species Tree
2010				15	Unrated	Consensus	Species Tree
2003	DNA	630	83				
2003				83	Unrated	Single	Species Tree
1990	Standard	36	23				
1990				23	Unrated	Consensus	Species Tree
1990				23	Unrated	Single	Species Tree
2010	DNA	1680	21				
2010	DNA	1047	21				
2010	DNA	1844	21				
2010	DNA	1563	21				
2010	DNA	911	21				
2010	DNA	1869	21				
2010	DNA	1754	21				
2010	DNA	3396	21				
2010	DNA	659	21				
2010	DNA	2560	21				
2010	DNA	693	21				
2010	DNA	1082	21				
2010	DNA	1531	21				
2010	DNA	922	21				
2010	DNA	840	21				
2010	DNA	777	21				
2010	DNA	3293	21				
2010	DNA	1614	21				
2010	DNA	981	21				
2010	DNA	1926	21				
2010	DNA	2888	21				
2010	DNA	883	21				
2010	DNA	1387	21				
2010	DNA	2094	21				
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010				21			
2010	DNA	560	26				
2010	DNA	753	27				
2010	DNA	513	18				
2010	DNA	3526	19				
2010	DNA	2310	33				
2010	DNA	1432	20				
2010	DNA	836	24				
2010	DNA	1620	35				
2010	DNA	580	23				
2010				24	Unrated	Single	Species Tree
2010				19	Unrated	Single	Species Tree
2010				27	Unrated	Single	Species Tree
2010				23	Unrated	Single	Species Tree
2010				26	Unrated	Single	Species Tree
2010				35	Unrated	Single	Species Tree
2010				33	Unrated	Single	Species Tree
2010				20	Unrated	Single	Species Tree
2010				18	Unrated	Single	Species Tree
2011	DNA	2373	25				
2011				25	Unrated	Single	Species Tree
2011				25	Unrated	Consensus	Species Tree
2011				25	Unrated	Single	Species Tree
2010	DNA	775	31				
2010				31	Unrated	Single	Species Tree
2010	DNA	5158	225				
2010				225	Unrated	Single	Species Tree
2010	DNA	596	35				
2010	DNA	596	35				
2010				35	Unrated	Consensus	Species Tree
2010				35	Unrated	Consensus	Species Tree
2004	Standard	166	32				
2004	DNA	1154	32				
2004	DNA	367	32				
2004	DNA	1078	32				
2004	DNA	481	32				
2004				32	Unrated	Single	Species Tree
2011	Protein	1319	104				
2011	DNA	7556	104				
2011	DNA	3580	104				
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Consensus	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Preferred Tree	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Consensus	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Single	Species Tree
2011				104	Unrated	Consensus	Species Tree
2011				104	Unrated	Single	Species Tree
2011	DNA	7930	44				
2011				44	Unrated	Consensus	Species Tree
2011	DNA	1742	49				
2011				49	Unrated	Single	Species Tree
2011	DNA	8910	90				
2011	DNA	642	90				
2011	DNA	9552	90				
2011				90	Unrated	Consensus	Species Tree
2011				90	Unrated	Consensus	Species Tree
2011				84	Unrated	Single	Species Tree
2003	DNA	608	19				
2003	DNA	1779	36				
2003	DNA	2694	19				
2003	DNA	1818	19				
2003	DNA	608	13				
2003				19	Unrated	Single	Species Tree
2003				13	Unrated	Single	Species Tree
2003				36	Unrated	Single	Species Tree
2003				19	Unrated	Single	Species Tree
2003				19	Unrated	Single	Species Tree
2012	DNA	3884	160				
2012	DNA	3713	152				
2012				160	Unrated	Single	Species Tree
2012				152	Unrated	Single	Species Tree
2010	DNA	658	402				
2010				402	Unrated	Single	Species Tree
2010				402	Unrated	Consensus	Species Tree
2010	DNA	517	10				
2010	DNA	1525	78				
