name,parent,score
Anthothela nuttingi,Node 101, 
Ctenocella barbadensis,Node 102, 
Eunicella cavolinii,Node 103, 
Alcyonium digitatum,Node 104, 
Primnoa pacifica,Node 104, 
Sarcophyton glaucum,Node 105, 
Renilla muelleri,Node 106, 
Anemonia sulcata,Node 108, 
Node 111,Node 112,0
Node 110,Node 111,0
Node 109,Node 110,0
Rhodactis indosinensis,Node 109, 
Ricordea yuma,Node 109, 
Corynactis australis,Node 110, 
Corynactis californica,Node 111, 
Node 429,Node 430,0
Node 424,Node 429,0
Node 397,Node 424,0
Node 394,Node 397,0
Node 393,Node 394,0
Node 256,Node 393,0
Node 255,Node 256,0
Node 254,Node 255,0
Node 248,Node 254,0
Node 247,Node 248,0
Node 124,Node 247,0
Node 123,Node 124,0
Node 119,Node 123,0
Node 114,Node 119,0
Node 113,Node 114,0
Seriatopora hystrix,Node 113, 
Seriatopora caliendrum,Node 113, 
Stylophora pistillata,Node 114, 
Node 118,Node 119,0
Pocillopora danae,Node 118, 
Node 117,Node 118,0
Node 116,Node 117,0
Pocillopora effusus,Node 116, 
Node 115,Node 116,0
Pocillopora damicornis,Node 115, 
Pocillopora elegans,Node 115, 
Pocillopora inflata,Node 116, 
Pocillopora molokensis,Node 116, 
Pocillopora ligulata,Node 117, 
Pocillopora meandrina,Node 117, 
Pocillopora eydouxi,Node 117, 
Pocillopora verrucosa,Node 118, 
Node 122,Node 123,0
Node 121,Node 122,0
Madracis formosa,Node 121, 
Node 120,Node 121,0
Madracis pharensis,Node 120, 
Madracis decactis,Node 120, 
Madracis senaria,Node 122, 
Stylocoeniella guentheri,Node 124, 
Node 246,Node 247,0
Node 245,Node 246,0
Node 223,Node 245,0
Node 135,Node 223,0
Node 130,Node 135,0
Node 129,Node 130,0
Polycyathus muellerae,Node 129, 
Node 128,Node 129,0
Node 127,Node 128,0
Node 125,Node 127,0
Solenastrea hyades,Node 125, 
Oculina diffusa,Node 125, 
Oculina robusta,Node 125, 
Oculina varicosa,Node 125, 
Oculina patagonica,Node 125, 
Node 126,Node 127,0
Cladocora caespitosa,Node 126, 
Astrangia poculata,Node 126, 
Cladocora arbuscula,Node 126, 
Paracyathus pulchellus,Node 128, 
Solenastrea bournoni,Node 130, 
Node 134,Node 135,0
Node 133,Node 134,0
Node 132,Node 133,0
Node 131,Node 132,0
Meandrina meandrites,Node 131, 
Eusmilia fastigiata,Node 131, 
Rhizosmilia maculata,Node 132, 
Dendrogyra cylindrus,Node 133, 
Meandrina braziliensis,Node 134, 
Node 222,Node 223,0
Node 217,Node 222,0
Node 216,Node 217,0
Node 159,Node 216,0
Node 149,Node 159,0
Node 144,Node 149,0
Node 143,Node 144,0
Mussismilia braziliensis,Node 143, 
Node 142,Node 143,0
Node 141,Node 142,0
Node 140,Node 141,0
Node 138,Node 140,0
Node 137,Node 138,0
Node 136,Node 137,0
Colpophyllia natans,Node 136, 
Manicina areolata,Node 136, 
Diploria labyrinthiformis,Node 137, 
Diploria clivosa,Node 138, 
Node 139,Node 140,0
