Id,Label,weight,Degree,Weighted Degree,Modularity Class,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality
S100,S100,,32,1579.0,5,2.4500192000354276E-4,4.0,2.717457886676876,201.87318632699703
S117,S117,,24,77.0,5,1.8028435034098605E-4,4.0,2.7197549770290963,70.57473189157379
S1673,S1673,,412,29109.0,5,0.002129480990793527,4.0,2.126850433894844,99384.4786605492
S116,S116,,19,58.0,5,1.524975895837755E-4,4.0,2.734558448187851,43.718608895649886
S92,S92,,9,17.0,5,1.0008572747130339E-4,5.0,2.8287391526288923,1.3211526332630201
S1123,S1123,,355,6895.0,5,0.0016298086567758457,4.0,2.144206227667177,22615.907632505317
S1046,S1046,,30,969.0,5,2.2669601558073432E-4,4.0,2.7179683511995916,148.71413561026523
S134,S134,,9,29.0,5,1.000857274713034E-4,5.0,2.8287391526288923,1.3211526332630201
S310,S310,,16,223.0,5,1.4156047969037403E-4,5.0,2.818274629913221,15.66091279456445
S1802,S1802,,36,192.0,0,2.690864292564131E-4,4.0,2.6516079632465543,438.5537704343244
S123,S123,,19,94.0,5,1.5036252627969327E-4,4.0,2.7445125063808065,29.411525428263843
S2200,S2200,1,553,5135.0,5,0.0032456888623780796,4.0,2.107197549770291,145933.97972292162
S15124,S15124,,11,54.0,5,9.755444013886473E-5,4.0,2.7496171516079633,0.05263157894736842
S1937,S1937,,375,54686.0,5,0.00199442240090128,4.0,2.1628381827462992,52845.77530832602
S16147,S16147,,457,4751.0,0,0.0027340365768653944,4.0,2.2054619703930576,68827.20230221385
S734,S734,4,221,1840.0,0,0.0012054415909323955,4.0,2.3596222562531906,18509.585220379857
S10983,S10983,,1164,178839.0,0,0.007978798889726569,4.0,1.854262378764676,1023451.7187003487
S10384,S10384,,26,1000.0,5,1.8205984848477301E-4,4.0,2.718989280245023,30.19168449988865
S1671,S1671,,22,88.0,5,1.7616163016186264E-4,4.0,2.742215416028586,47.58675907391291
S13859,S13859,,429,3851.0,5,0.002032299400316137,4.0,2.1176620724859623,39051.16675643197
S137,S137,,17,304.0,5,1.3646955237384798E-4,5.0,2.7993874425727414,5.87600356918962
S1950,S1950,,350,1680.0,5,0.0016385473343066617,4.0,2.1421643695763146,26412.719342425095
S671,S671,,146,1153.0,5,6.514506106612561E-4,4.0,2.241194486983155,6168.340111149143
S1178,S1178,,26,793.0,5,2.234871847147524E-4,5.0,2.7256253190403266,1674.8752815749126
S11267,S11267,,758,76503.0,5,0.004393129217742502,4.0,1.9854517611026035,306855.1108026099
S917,S917,29,311,16621.0,5,0.0016650072953294298,4.0,2.172537008677897,53147.90631529803
S90,S90,,5,15.0,5,7.078184453933347E-5,5.0,2.852986217457887,0.0
S1262,S1262,18,470,64065.0,5,0.00241675284642673,4.0,2.108218478815722,70251.65069565388
S11883,S11883,,3,7.0,5,5.684486381741044E-5,5.0,2.8534966819806025,0.0
S91,S91,,11,58.0,5,9.840882281888494E-5,4.0,2.7496171516079633,0.22549665225866597
S89,S89,,11,75.0,5,1.143364327980935E-4,5.0,2.8282286881061767,2.894412076806495
S1141,S1141,,102,1408.0,0,6.036555129967694E-4,4.0,2.3517100561510973,12742.078917567202
S11116,S11116,,502,12538.0,5,0.002764410139832806,4.0,2.102858601327208,104241.98378071979
S1000,S1000,,7,11.0,1,1.074730334059399E-4,5.0,3.1199591628381826,0.0
S1070,S1070,,19,996.0,1,2.1269230897600467E-4,4.0,2.7169474221541603,2408.3572344793556
S11475,S11475,,183,17502.0,1,0.0016535114827104227,5.0,2.5331801939765186,30119.57822207718
S382,S382,31,309,28752.0,1,0.002837098711985195,4.0,2.2868810617662074,187465.22203399058
S419,S419,78,414,45511.0,1,0.0044991901886855265,4.0,2.2217968351199593,361719.83397716976
S2239,S2239,,9,858.0,1,1.330411322617321E-4,5.0,3.119448698315467,0.6666666666666666
S916,S916,4,7,664.0,1,1.074730334059399E-4,5.0,3.1199591628381826,0.0
S1570,S1570,,19,847.0,1,2.1269230897600467E-4,4.0,2.7169474221541603,2408.3572344793556
S10000,S10000,,10,90.0,0,8.151179319263392E-5,5.0,2.7580398162327717,0.0
S2250,S2250,,103,910.0,1,4.1634888083232074E-4,4.0,2.2524247064828993,1127.206894970707
S107,S107,,253,25481.0,5,0.0014088756166178902,4.0,2.198570699336396,37287.58885677841
S11210,S11210,,98,896.0,5,3.8928629567279194E-4,4.0,2.255997958141909,709.9754555371819
S2103,S2103,,105,1520.0,5,4.3304569597449625E-4,4.0,2.2524247064828993,1846.4955267943624
S115,S115,,539,84645.0,0,0.0030616056306465417,4.0,2.0724859622256253,209192.6806466493
S10770,S10770,,418,37686.0,5,0.0022915193786527685,4.0,2.0770801429300665,163672.50069399553
S10201,S10201,,35,360.0,5,1.9259363412922763E-4,4.0,2.649566105155692,25.976566377674
S1525,S1525,,100,826.0,5,3.9799904087065095E-4,4.0,2.254977029096478,688.8108754631191
S10001,S10001,,5,135.0,7,7.060776774071062E-5,5.0,3.116641143440531,0.0
S10209,S10209,,9,260.0,7,1.1506910456797768E-4,5.0,3.1156202143950997,2.025
S856,S856,54,99,12327.0,7,6.802599753997452E-4,5.0,2.7736089841756,2428.208623379378
S10150,S10150,,314,42089.0,7,0.0014869476966349235,4.0,2.283818274629913,74677.77910769718
S10319,S10319,,375,29746.0,7,0.0028158313397081453,4.0,2.2646758550280754,290531.337675013
S14093,S14093,,223,29085.0,7,0.0014174282172093823,5.0,2.334099030117407,70169.04513813459
S10002,S10002,,210,595.0,4,5.553186459453701E-4,5.0,2.294027565084227,2541.1799172517713
S683,S683,3,520,2575.0,4,0.001456980610930159,4.0,2.02475752935171,146755.17864814465
S2071,S2071,,154,351.0,1,4.730887572826585E-4,4.0,2.2228177641653906,3674.6934228651103
S1521,S1521,,286,665.0,1,9.154764956007048E-4,4.0,2.0053598774885146,10388.610917952032
S10092,S10092,,98,203.0,4,2.4600497146319333E-4,5.0,2.5691679428279737,41.19700132007964
S12651,S12651,,202,899.0,4,4.6496047497268845E-4,5.0,2.533945890760592,403.41407674546383
S10118,S10118,,82,506.0,4,2.5170285657072057E-4,5.0,2.436191934660541,90.81843067011646
S12584,S12584,1,155,639.0,4,3.6396816305416636E-4,5.0,2.6342521694742214,121.31931428084145
S757,S757,,165,2161.0,4,3.987766664230114E-4,5.0,2.4384890250127618,1044.1250393255211
S12822,S12822,,332,2415.0,1,0.0011602501116993137,4.0,1.9716692189892802,40218.78077955308
S14984,S14984,,67,142.0,4,1.8118924639317922E-4,5.0,2.588310362429811,16.823677705788242
S656,S656,,312,838.0,4,7.502475039026881E-4,5.0,2.2871362940275652,3127.5242322609606
S970,S970,,306,817.0,4,7.332040455789117E-4,5.0,2.2879019908116387,3739.689822944199
S301,S301,33,1288,79810.0,4,0.004451582727709619,5.0,1.9726901480347117,403688.2658385726
S11736,S11736,,316,3449.0,4,7.204094124893182E-4,5.0,2.449974476773864,1829.5585485391575
S13396,S13396,,228,936.0,0,7.750610903056706E-4,5.0,2.284073506891271,6215.292813981601
S1452,S1452,,414,1907.0,1,0.0014240286644247896,4.0,1.9305768249106687,50580.114785153615
S10142,S10142,,283,1660.0,4,6.972295453583948E-4,5.0,2.295303726391016,4802.057358649939
S817,S817,,130,818.0,4,3.193311193499208E-4,5.0,2.567891781521184,91.82015543245609
S13909,S13909,2,494,3847.0,1,0.001652291138559552,4.0,1.9231750893312916,62846.981036451165
S1953,S1953,1,974,56840.0,4,0.0029412103596035094,5.0,2.0898417559979583,133263.6174281754
S10010,S10010,,142,746.0,4,3.361074503995156E-4,5.0,2.8739152628892293,91.38804837745148
S12625,S12625,1,302,1236.0,1,0.0010090233332386285,4.0,2.0566615620214397,16856.681577899602
S10474,S10474,,336,1069.0,4,8.119810716922289E-4,5.0,2.2805002552322615,6027.195716462805
S1880,S1880,,212,1192.0,1,7.25665109773672E-4,4.0,2.217202654415518,9996.21294620914
S14916,S14916,,27,290.0,4,1.1885301393579492E-4,5.0,2.613067891781521,25.626915071029853
S10144,S10144,,276,1091.0,4,7.041593055639147E-4,5.0,2.296324655436447,6277.192411279437
S14909,S14909,,328,1732.0,1,0.0010192666892877415,4.0,2.1301684532924963,14812.285326022415
S9975,S9975,,134,3811.0,4,3.2394525991491193E-4,5.0,2.6914241960183767,141.49048742435775
S12058,S12058,,214,717.0,4,5.376668764623776E-4,5.0,2.3162327718223583,2532.8848692843935
S2034,S2034,,113,1955.0,4,2.7936293560004314E-4,5.0,2.6436957631444615,86.25649438743748
S13511,S13511,,462,1800.0,1,0.0014988995395431924,4.0,1.9142419601837672,35151.07413809444
S11989,S11989,,8,48.0,4,5.967941016141138E-5,5.0,2.623021949974477,0.7090868718304982
S10943,S10943,,174,764.0,4,4.409426211449131E-4,5.0,2.3259315977539563,699.5686616758668
S2116,S2116,,409,3021.0,4,9.907511408806353E-4,5.0,2.2677386421643697,8730.581995801149
S761,S761,,421,1089.0,4,0.0010716914119427003,5.0,2.253445635528331,10325.663602922157
S10523,S10523,,183,992.0,4,4.260840927160733E-4,5.0,2.6413986727922407,281.95949380072636
S12204,S12204,,232,646.0,4,5.743140340654954E-4,5.0,2.3101071975497702,4059.2752756170503
S404,S404,,270,798.0,4,6.516923410395674E-4,5.0,2.300153139356815,1845.962301298154
S14480,S14480,,713,4260.0,1,0.002464196577118576,4.0,1.825931597753956,174587.93116081454
S641,S641,,295,846.0,4,7.102473383240969E-4,5.0,2.349412965798877,2661.874383741749
S752,S752,10,681,4304.0,1,0.00238600907755577,4.0,1.8453292496171516,144932.51082026967
S932,S932,,263,1647.0,4,6.593186530624808E-4,5.0,2.2945380296069424,2550.61749318027
S14959,S14959,,160,762.0,4,3.7700463548497997E-4,5.0,2.6978050025523226,158.79907070073128
S14534,S14534,6,411,4186.0,4,0.0010206760228131096,5.0,2.2656967840735067,11101.857334312353
S13994,S13994,1,263,1317.0,4,6.010255165924424E-4,5.0,2.4354262378764675,1242.7496603770396
S1901,S1901,28,201,1884.0,4,4.7080508384403775E-4,5.0,2.375446656457376,1089.023081283444
S667,S667,1,611,3329.0,2,0.0020666871960805526,4.0,1.8529862174578866,101511.37716022469
S12389,S12389,,279,1332.0,4,7.09519582285756E-4,5.0,2.2850944359367023,2927.4405000613147
S11216,S11216,,181,829.0,1,5.467291542982306E-4,5.0,2.2988769780500253,1363.2968853702284
S10171,S10171,,539,4367.0,1,0.002009361490470405,4.0,1.8825931597753955,103798.88087975519
S1575,S1575,,132,668.0,1,3.9924506445844753E-4,4.0,2.263654925982644,1569.1105285430663
S2082,S2082,,282,873.0,4,6.660176406164691E-4,5.0,2.2970903522205206,3181.459182021187
S12805,S12805,,237,1682.0,4,5.791626137723444E-4,5.0,2.310362429811128,4396.236642040621
S889,S889,,330,1535.0,4,8.578958938223728E-4,5.0,2.25472179683512,5551.664883033852
S10318,S10318,,325,1599.0,4,8.112033335798711E-4,5.0,2.279989790709546,3910.9666831466247
S13671,S13671,,36,1422.0,0,1.6192348967448674E-4,5.0,2.3703420112302194,110.84711943174246
S13526,S13526,,1054,70059.0,4,0.003240083157402296,5.0,2.0597243491577335,174073.77759174915
S1316,S1316,,185,924.0,4,5.040215929244805E-4,5.0,2.4464012251148546,1066.9902052226505
S10801,S10801,,446,1796.0,4,0.0010577148876350301,5.0,2.2432363450740174,8554.149519639945
S10562,S10562,,571,4918.0,1,0.002066619082784165,4.0,1.8611536498213375,91266.34092689591
S1819,S1819,,440,6305.0,4,0.001020931556575595,5.0,2.261102603369066,9410.754029885931
S1881,S1881,132,1121,236987.0,0,0.005074102635089539,4.0,1.743746809596733,938884.6745343711
S1241,S1241,,21,84.0,4,1.0070139379906356E-4,5.0,2.53777437468096,1273.7759162945576
S986,S986,,271,3147.0,4,6.139787562528889E-4,5.0,2.4867279224093926,935.6698922695253
S942,S942,4,240,979.0,4,7.127801669883179E-4,5.0,2.2784583971413985,2985.63943198333
S686,S686,1,335,2586.0,4,0.0010796388403274217,4.0,2.0829504849412968,36763.44192368494
S13099,S13099,,290,6779.0,4,8.717721725310507E-4,5.0,2.2595712098009186,9917.162546783387
S10217,S10217,,437,2260.0,4,0.001170507092468913,5.0,2.21465033180194,13855.223406317109
S1599,S1599,,356,2413.0,4,9.106225762304722E-4,5.0,2.2628892291985707,11623.086183764872
S11288,S11288,,192,535.0,4,4.8172704966533184E-4,5.0,2.3218478815722308,2779.6239089369965
S927,S927,1,177,494.0,4,4.6751413459424085E-4,5.0,2.3266972945380298,692.2358853521524
S11131,S11131,,258,1228.0,4,5.812377845587102E-4,5.0,2.5022970903522204,532.5038340865187
S1813,S1813,,253,4332.0,4,5.754287444169091E-4,5.0,2.4857069933639613,797.1984576127188
S16145,S16145,,131,1211.0,4,3.1703158971505707E-4,5.0,2.698825931597754,89.79905437511634
S10067,S10067,,273,1666.0,4,6.605642755811273E-4,5.0,2.2996426748340992,4238.342809630799
S11797,S11797,,169,659.0,4,4.322720875613314E-4,5.0,2.327718223583461,1983.71108861517
S2207,S2207,,122,392.0,4,3.351923337172704E-4,5.0,2.433129147524247,759.2359059117438
S1014,S1014,,236,1237.0,4,6.355058636251591E-4,5.0,2.422409392547218,3126.1746788036585
S13812,S13812,,155,560.0,4,4.0641896713290997E-4,5.0,2.3312914752424705,412.09991943706376
S1213,S1213,,193,3393.0,4,4.448428779134152E-4,5.0,2.6350178662582953,254.53955308824806
S14693,S14693,,477,3453.0,1,0.0016908395966910492,4.0,1.8950995405819295,51564.66995033344
S10309,S10309,,205,3477.0,4,4.76123055087594E-4,5.0,2.449974476773864,726.2650490562447
S13481,S13481,,103,536.0,4,2.57191635288708E-4,5.0,2.7090352220520675,41.43472261960067
S2145,S2145,,639,2727.0,1,0.002235343037661006,4.0,1.8677896886166412,146332.4814552912
S1018,S1018,,307,1302.0,1,9.575312159085409E-4,4.0,2.012251148545176,16138.546468958626
S12343,S12343,,306,1160.0,4,7.891887564940658E-4,5.0,2.2782031648800407,8360.197036345959
S1896,S1896,,165,523.0,4,3.841673603147754E-4,5.0,2.642930066360388,157.90997633401952
S805,S805,,638,4968.0,4,0.0016395534496041987,5.0,2.1827462991322104,31824.350499108124
S14543,S14543,,225,524.0,4,5.539041981785004E-4,5.0,2.3134252169474223,1952.2413621688447
S15039,S15039,,128,987.0,4,3.560905476233401E-4,5.0,2.3348647269014804,95.13344291399356
S1177,S1177,,185,971.0,4,5.040215929244807E-4,5.0,2.4464012251148546,1066.9902052226505
S10279,S10279,,625,4803.0,4,0.001558244761727289,5.0,2.1740684022460437,27193.540114088228
S769,S769,,344,959.0,4,8.384494693317812E-4,5.0,2.277692700357325,6864.047201769321
